1003,Costar 96 FL.rck,Costar plate with 96 flat bottom wells,Cos_96_FL.rck,Corning-Costar\\Cos_96_FL.rck
1015,Costar 96 FL.rck,Costar plate with 96 flat bottom wells,Cos_96_FL.rck,Corning-Costar\\Cos_96_FL.rck
1015,,,Cos_96_HalfArea.rck,Corning-Costar\\Cos_96_HalfArea.rck
1003,,,Cos_96_HalfArea.rck,Corning-Costar\\Cos_96_HalfArea.rck
1015,,,Cos_96_PCR.rck,Corning-Costar\\Cos_96_PCR.rck
1010,,,Cos_96_PCR.rck,Corning-Costar\\Cos_96_PCR.rck
1003,,,Cos_96_PCR.rck,Corning-Costar\\Cos_96_PCR.rck
1003,,,Cos_96_ProtCryst.rck,Corning-Costar\\Cos_96_ProtCryst.rck
1015,,,Cos_96_ProtCryst.rck,Corning-Costar\\Cos_96_ProtCryst.rck
1015,,,Cos_96_Rd.rck,Corning-Costar\\Cos_96_Rd.rck
1003,,,Cos_96_Rd.rck,Corning-Costar\\Cos_96_Rd.rck
1003,,,Cos_96_SpecOps.rck,Corning-Costar\\Cos_96_SpecOps.rck
1015,,,Cos_96_SpecOps.rck,Corning-Costar\\Cos_96_SpecOps.rck
1015,,,Cos_96_UV.rck,Corning-Costar\\Cos_96_UV.rck
1003,,,Cos_96_UV.rck,Corning-Costar\\Cos_96_UV.rck
1003,,,Cos_96_Vb.rck,Corning-Costar\\Cos_96_Vb.rck
1015,,,Cos_96_Vb.rck,Corning-Costar\\Cos_96_Vb.rck
1006,,,MatrixTubeRack2D.rck,Custom\\MatrixTubeRack2D.rck
1003,,,MatrixTubeRack2D.rck,Custom\\MatrixTubeRack2D.rck
1016,,,Dyn_96_Fl.rck,Dynex\\Dyn_96_Fl.rck
1003,,,Dyn_96_Fl.rck,Dynex\\Dyn_96_Fl.rck
1015,EK 2035 12 Column 300mL Reservoir,EK 12 Column undivided Reservoir\, 300mL\, Pyramid Bottom\, Defined for use with CORE96,EK_2035_300mL_reservoir_CORE96.rck,EKSci_2035_300ml_Reservoir\\EK_2035_300mL_reservoir_CORE96.rck
1003,EK 2035 12 Column 300mL Reservoir,EK 12 Column undivided Reservoir\, 300mL\, Pyramid Bottom\, Defined for use with CORE96,EK_2035_300mL_reservoir_CORE96.rck,EKSci_2035_300ml_Reservoir\\EK_2035_300mL_reservoir_CORE96.rck
1006,EK 2035 12 Column 300mL Reservoir,EK 12 Column undivided Reservoir\, 300mL\, Pyramid Bottom\, Defined for use with CORE96,EK_2035_300mL_reservoir_CORE96.rck,EKSci_2035_300ml_Reservoir\\EK_2035_300mL_reservoir_CORE96.rck
1018,,,55574_Carrier_HHS2_Mag1_PCR1.tml,EXAS\\55574_Carrier_HHS2_Mag1_PCR1.tml
184,,,PR2_Carrier_DWP2_Tip192_MTP1.tml,EXAS\\PR2_Carrier_DWP2_Tip192_MTP1.tml
151,,,T02_Carrier_Tip480.tml,EXAS\\T02_Carrier_Tip480.tml
145,300536_Carrier,,EXAS_300536_Carrier_Quarts_Reagent1.tml,EXAS\\Carriers\\EXAS_300536_Carrier_Quarts_Reagent1.tml
148,300536_Tube_Rack,,EXAS_300536_Tube_Rack.rck,EXAS\\Carriers\\EXAS_300536_Tube_Rack.rck
148,300536_Tube_Rack,,EXAS_300536_Tube_Rack_2.0ml.rck,EXAS\\Carriers\\EXAS_300536_Tube_Rack_2.0ml.rck
145,300537_Carrier,,EXAS_300537_Carrier_Quarts_Reagent2.tml,EXAS\\Carriers\\EXAS_300537_Carrier_Quarts_Reagent2.tml
148,300537_TubeRack,,EXAS_300537_TubeRack_10.0ml_15.0ml.rck,EXAS\\Racks\\EXAS_300537_TubeRack_10.0ml_15.0ml.rck
1003,,,Fal_96_Rd.rck,Falcon\\Fal_96_Rd.rck
1025,,,Gre_1536_Sq.rck,Greiner\\Gre_1536_Sq.rck
1005,,,Gre_1536_Sq.rck,Greiner\\Gre_1536_Sq.rck
1025,,,Gre_384_Sq.rck,Greiner\\Gre_384_Sq.rck
1004,,,Gre_384_Sq.rck,Greiner\\Gre_384_Sq.rck
1019,,,Ham_250ml_RGT_L.rck,Hamilton\\Ham_250ml_RGT_L.rck
1008,,,Ham_250ml_RGT_L.rck,Hamilton\\Ham_250ml_RGT_L.rck
1019,,,Ham_96_DW.rck,Hamilton\\Ham_96_DW.rck
1006,,,Ham_96_DW.rck,Hamilton\\Ham_96_DW.rck
1003,,,Ham_96_DW.rck,Hamilton\\Ham_96_DW.rck
1006,Hamilton 1.2 ml deep well plate,Hamilton 1.2 ml deep well plate  with 96 wells (P/N: 235655),HAM_DW_12_ml.rck,Hamilton\\HAM_DW_12_ml.rck
1003,Hamilton 1.2 ml deep well plate,Hamilton 1.2 ml deep well plate  with 96 wells (P/N: 235655),HAM_DW_12_ml.rck,Hamilton\\HAM_DW_12_ml.rck
